buy,sell,total_ret,cagr,max_dd,sharpe
1.08,0.92,765.66,8.66,-54.0,0.3
1.09,0.98,760.2,8.63,-54.0,0.3
1.09,0.94,751.21,8.59,-54.0,0.3
1.07,0.91,745.42,8.56,-55.71,0.29
1.07,0.96,739.29,8.53,-54.0,0.29
1.09,0.93,714.95,8.41,-54.92,0.29
1.1,1.0,698.79,8.32,-54.0,0.29
1.13,0.94,673.93,8.19,-54.0,0.29
1.08,0.91,671.94,8.18,-55.32,0.28
1.09,0.97,662.97,8.13,-54.0,0.28
1.1,0.94,658.64,8.11,-55.24,0.28
1.08,0.96,649.09,8.06,-54.0,0.28
1.09,0.92,647.17,8.05,-56.99,0.28
1.09,0.95,646.32,8.04,-54.0,0.28
1.13,0.93,644.65,8.03,-54.0,0.28
1.1,0.93,631.26,7.96,-57.01,0.27
1.09,0.9,629.65,7.95,-54.0,0.27
1.1,0.99,628.24,7.94,-54.0,0.28
1.13,0.92,609.6,7.83,-54.0,0.27
1.1,0.98,594.03,7.74,-54.0,0.27
1.11,0.94,589.87,7.71,-55.91,0.26
1.11,1.0,588.9,7.71,-54.0,0.27
1.09,0.91,588.08,7.7,-58.1,0.26
1.13,0.9,582.51,7.67,-54.0,0.26
1.1,0.92,580.37,7.66,-58.89,0.26
1.12,0.94,574.11,7.62,-55.59,0.26
1.13,0.91,569.6,7.59,-54.0,0.26
1.11,0.93,569.13,7.59,-57.65,0.26
1.1,0.95,561.31,7.54,-54.0,0.26
1.1,0.9,558.6,7.52,-54.14,0.26
1.09,0.96,556.06,7.51,-54.0,0.26
1.12,0.93,554.77,7.5,-57.34,0.26
1.1,0.97,551.88,7.48,-54.0,0.26
1.16,0.94,547.68,7.45,-54.0,0.26
1.15,0.94,547.12,7.45,-54.0,0.26
1.11,0.99,544.55,7.43,-54.0,0.26
1.14,0.94,543.63,7.43,-54.0,0.26
1.13,0.95,541.82,7.42,-54.0,0.26
1.17,1.0,541.18,7.41,-54.0,0.27
1.1,0.91,537.44,7.39,-59.64,0.25
1.16,1.0,536.98,7.38,-54.0,0.26
1.13,1.0,534.32,7.37,-54.0,0.26
1.15,1.0,532.82,7.36,-54.0,0.26
1.11,0.92,531.65,7.35,-59.44,0.25
1.16,0.93,530.64,7.34,-54.0,0.25
1.15,0.93,530.14,7.34,-54.0,0.25
1.14,1.0,529.29,7.33,-54.0,0.26
1.14,0.93,526.98,7.32,-54.0,0.25
1.12,0.92,525.79,7.31,-58.67,0.25
1.11,0.98,522.66,7.29,-54.0,0.25
1.17,0.99,519.38,7.27,-54.0,0.26
1.16,0.92,518.35,7.26,-54.0,0.25
1.15,0.92,517.89,7.26,-54.0,0.25
1.16,0.99,515.74,7.24,-54.0,0.26
1.17,0.94,514.33,7.23,-54.0,0.25
1.14,0.92,513.61,7.23,-54.0,0.25
1.17,0.98,512.98,7.23,-54.0,0.25
1.18,1.0,511.99,7.22,-54.0,0.26
1.15,0.99,511.67,7.22,-54.0,0.25
1.11,0.9,510.32,7.21,-55.96,0.24
1.17,0.97,509.91,7.2,-54.0,0.25
